pupilid,schoolid,district,bungoma,division,zone,tracking,sbm,girl,agetest,etpteacher,lowstream,stream_meanpercentile,SDstream_std_mark,MEANstream_std_mark,bottomhalf,tophalf,bottomquarter,secondquarter,thirdquarter,topquarter,std_mark,percentile,realpercentile,quantile5p,attrition,wordscore,sentscore,letterscore,spellscore,sentscore24,letterscore24,spellscore24,litscore,additions_score,substractions_score,multiplications_score,mathscoreraw,totalscore,rMEANstream_std_baselinemark,rSDstream_std_baselinemark,rMEANstream_std_total,rSDstream_std_total,rMEANstream_std_math,rSDstream_std_math,rMEANstream_std_lit,rSDstream_std_lit,r2_attrition,r2_age,r2_wordscore,r2_sentscore,r2_letterscore,r2_spellscore,r2_sentscore24,r2_letterscore24,r2_spellscore24,r2_litscore,r2_mathscoreraw,r2_additions_score,r2_substractions_score,r2_multiplications_score,r2_totalscore
4301003,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,8,0,1,25,1,-1,1,0,1,0,0,0,-2,3,4,1,0,0,6,0,0,4,0,0,1,1,1,0,2,3,-1,1,0,1,0,1,0,0,0,8,0,7,0,0,4,0,0,1,2,1,1,0,3
4301004,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,14,0,1,25,1,-1,1,0,1,0,0,0,-2,4,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-1,1,0,1,0,1,0,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4301005,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,11,0,1,25,1,-1,1,0,1,0,0,0,-2,6,6,2,0,0,0,10,0,0,3,0,1,4,5,0,9,10,-1,1,0,1,0,1,0,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4301007,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,0,1,25,1,-1,1,0,1,0,0,0,-1,8,9,2,0,0,0,7,0,0,2,0,1,2,4,0,6,7,-1,1,0,1,0,1,0,0,0,10,0,0,7,0,0,2,0,1,8,2,6,0,9
4301009,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,0,1,25,1,-1,1,0,1,0,0,0,-1,11,11,3,0,0,0,14,0,0,5,0,1,3,1,0,4,5,-1,1,0,1,0,1,0,0,0,9,4,4,25,0,2,9,0,4,7,4,3,0,11
4301010,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,9,0,1,25,1,-1,1,0,1,0,0,0,-1,12,13,3,0,0,0,32,0,0,11,0,3,4,3,0,7,10,-1,1,0,1,0,1,0,0,0,9,0,4,70,0,2,24,0,7,14,5,6,3,21
4301011,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,0,1,25,1,-1,1,0,1,0,0,0,-1,13,14,3,0,0,0,41,3,0,14,7,5,5,6,0,11,16,-1,1,0,1,0,1,0,0,0,9,20,10,66,4,6,23,10,15,14,7,4,3,29
4301012,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,0,1,25,1,-1,1,0,1,0,0,0,-1,15,15,3,0,0,5,29,0,3,10,0,3,3,3,2,8,11,-1,1,0,1,0,1,0,0,0,9,0,0,62,0,0,21,0,5,14,7,5,2,19
4301013,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,7,0,1,25,1,-1,1,0,1,0,0,0,-1,16,17,4,0,3,0,45,1,0,15,2,5,4,4,0,8,13,-1,1,0,1,0,1,0,0,0,8,18,27,54,4,16,19,10,16,10,6,4,0,26
4301014,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,10,0,1,25,1,-1,1,0,1,0,0,0,-1,17,18,4,0,2,5,28,1,3,10,2,4,5,5,0,10,14,-1,1,0,1,0,1,0,0,0,9,0,2,39,1,1,13,2,4,17,7,6,4,21
