,SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,ACTIVE_LOAN,DAYS_CREDIT,CREDIT_DAY_OVERDUE,AMT_CREDIT_SUM,DAYS_CREDIT_UPDATE,CREDIT_ACTIVE,ACTIVE_CREDIT,NUMBER_PREV_LOANS,DIFFERENT_LOAN_PRODUCTS,PREV_AMT_RECEIVED_MEAN,PREV_AMT_APPLICATION,PREV_AMT_ANNUITY,PREV_AMT_CREDIT,AMT_DOWN_PAYMENT,PREV_DAYS_DECISION,PREV_CNT_PAYMENT,PREV_RATE_DOWN_PAYMENT,INCOME_TO_TOTAL_ANNUITY
3237,100085,0,M,N,Y,1,157500,755190,28894.5,675000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.016612,-11187,-2224,Drivers,3,0.208556787,52500,0.183457143,0.038261232,2,-976.5,0,1427197.5,-526.25,4,1373985,2,1,1.072959314,187582.5,NA,194197.5,NA,-681.6666667,NA,NA,5.450864351
2230,100173,0,F,N,N,0,117000,781920,26725.5,675000,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.02461,-11633,-2596,Core staff,1,0.149631676,117000,0.228423077,0.034179328,6,-860.125,0,1743966,-263.375,8,1534464,2,2,0.781223084,91890,14780.565,171220.5,NA,-2071.333333,5.333333333,NA,4.377841387
3088,100261,0,F,N,Y,0,90000,522000,22243.5,522000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.026392,-14974,-2389,Laborers,2,0.172413793,45000,0.24715,0.042612069,0,-1553.5,0,709461,-905,2,0,2,1,NA,971806.5,NA,2313000,NA,-1191.909091,NA,NA,4.046125835
2885,100274,0,M,Y,Y,0,308250,1305000,38281.5,1305000,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,0.026392,-15612,-1106,Drivers,2,0.236206897,154125,0.124189781,0.029334483,1,-805,0,1800000,-42,1,1800000,0,1,0.607016787,1126687.5,46462.905,1378053,NA,-1532.5,30,NA,8.052192312
1940,100289,0,M,Y,N,0,202500,526491,26878.5,454500,Unaccompanied,Working,Higher education,Married,House / apartment,0.022625,-14811,-7668,Managers,2,0.384621959,101250,0.132733333,0.051052155,0,-1295.75,0,760786.11,-879.25,4,0,4,3,NA,684400.5,NA,588411,NA,-423.8333333,NA,NA,7.533902562
830,100301,1,M,N,Y,1,112500,571486.5,31131,454500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-8292,-166,Laborers,3,0.196855044,37500,0.27672,0.054473728,3,-94.44444444,0,248233.5,-47.44444444,9,149233.5,6,2,0.896689188,1034607.555,NA,1213947,NA,-1296.857143,NA,NA,3.613761203
3064,100365,0,F,N,Y,0,247500,517788,19647,427500,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.010032,-20435,NA,,2,0.477994855,123750,0.079381818,0.037944101,1,-441.6666667,0,1313997.93,-208,3,1051401.87,2,1,NA,1639615.5,NA,1847497.5,NA,-307.7142857,NA,NA,12.59734311
2237,100411,0,M,Y,N,1,450000,1035832.5,33412.5,904500,Unaccompanied,Working,Higher education,Married,House / apartment,0.009334,-19410,-5545,Managers,3,0.434433173,150000,0.07425,0.032256663,2,-524.5,0,5471023.5,-286.3333333,6,1701000,4,2,0.943837619,98766,19949.895,104643,9877.5,-792,6,0.093935107,13.46801347
2379,100437,0,F,N,Y,1,67500,817560,30951,675000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.035792,-21401,NA,,3,0.082562748,22500,0.458533333,0.037857772,1,-920.25,0,324105.705,-421.5,4,45139.5,3,1,NA,1368756,NA,1020528,NA,-586.0909091,NA,NA,2.180866531
175,100541,1,F,Y,N,2,180000,9.00E+05,43299,9.00E+05,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018209,-10616,-1065,Sales staff,3,0.2,60000,0.24055,0.04811,2,-213.5,0,177480,-13.5,2,177480,0,1,1.111111111,30555,2819.25,27499.5,3055.5,-697,12,0.108909091,4.157139888
